chrom	start	end	sample	gt	supporting_sites	sites	DP	switches	CIGAR
X	11612477	17717342	E103	2	1068	1069	2.02153558052	2	A32R1A1036
I	1713	2176258	E104	2	339	342	2.31563421829	4	A270R2A29R1A40
I	2189446	15025979	E104	1	2252	2255	1.78685612789	6	R66A1R110A1R946A1R1130
II	943	12135585	E104	2	2630	2646	2.00266159696	24	A17R1A12R1A26R1A11R1A96R1A86R1A15R1A1531R3A177R1A39R3A420R1A195R1A5
II	12148310	15275133	E104	1	809	811	2.03213844252	4	R347A1R344A1R118
III	4070	3110993	E104	1	1308	1323	2.11314984709	6	R891A1R222A6R1A8R194
III	3118490	13780512	E104	2	942	960	2.45859872611	24	A35R1A30R2A48R1A520R3A63R1A40R1A19R1A21R1A46R1A7R2A92R3A1R1A20
IV	64777	15921646	E104	2	2125	2171	2.40094117647	61	R1A66R2A54R3A47R1A23R2A2R2A174R1A102R1A38R1A184R1A219R1A13R1A8R3A1R2A137R1A56R2A1R2A139R1A27R1A49R1A146R1A24R1A22R3A122R1A45R1A8R3A149R1A78R1A90R1A14R2A20R1A67
IV	15935712	17491610	E104	1	406	406	2.27093596059	0	R406
V	396	15443004	E104	2	3897	3925	2.22838080575	40	A667R1A60R1A29R1A60R1A9R1A122R2A72R2A83R1A914R1A57R5A193R1A225R1A3R2A509R1A44R2A224R1A291R1A110R1A16R1A204R1A5
V	15448228	20923490	E104	1	4790	4803	2.17098121086	12	R1864A1R1A2R2A1R1210A7R7A1R140A1R1566
X	5163	4750236	E104	1	847	852	1.91617473436	10	R15A1R266A1R23A1R1A1R41A1R501
X	4758185	4862617	E104	2	25	25	2.32	0	A25
X	4864726	17709225	E104	1	2037	2040	2.0972017673	4	R917A2R225A1R895
I	1933	1612678	E105	1	619	621	2.70113085622	4	R242A1R244A1R133
I	1627556	11704515	E105	2	1795	1809	2.26295264624	22	A83R1A519R1A212R1A122R1A48R1A317R1A74R1A12R1A196R1A14R3A114R2A84
I	11704883	14695461	E105	1	1406	1407	2.24466571835	2	R1402A1R4
I	14703345	15059713	E105	2	105	105	2.60952380952	0	A105
II	943	12123494	E105	1	6611	6615	2.37225835728	4	R186A1R2A3R6423
II	12130901	13303163	E105	2	435	436	2.91724137931	2	A47R1A388
II	13345783	15276725	E105	1	820	821	2.5012195122	2	R667A1R153
III	3683	12150824	E105	1	3331	3336	2.56949864905	6	R864A2R1080A2R230A1R1157
III	12155937	12859931	E105	2	223	225	2.2197309417	4	A24R1A136R1A63
III	12869509	13780910	E105	1	124	124	2.64516129032	0	R124
IV	57787	17491919	E105	1	5415	5433	2.54349030471	20	R548A1R125A1R1758A1R151A1R120A6R1A4R322A1R114A1R244A1R868A1R1164
V	493	20923490	E105	1	17190	17206	2.76753926702	20	R1A2R4464A3R2778A1R322A1R1059A1R308A1R1A1R3305A4R3A1R3658A1R1291
X	5163	4752198	E105	1	1302	1306	3.03993855607	8	R417A1R68A1R6A1R567A1R244
X	4766267	4864303	E105	2	31	31	2.90322580645	0	A31
X	4864726	17717342	E105	1	3279	3288	2.93748093931	12	R443A1R958A2R384A2R655A2R664A1R83A1R92
I	855	12115640	E107	1	3336	5011	2.99100719424	1852	R1A1R6A1R5A1R2A2R13A1R4A2R2A1R4A1R2A6R10A2R3A1R1A1R4A3R4A1R3A1R2A1R8A3R12A1R7A4R1A1R4A1R6A1R2A2R2A2R1A1R5A1R1A1R3A1R1A3R2A1R6A4R6A1R5A1R6A1R1A1R1A2R1A1R2A1R1A1R6A2R5A1R3A2R10A3R1A1R4A4R3A2R7A3R1A1R12A1R2A1R1A1R2A1R1A4R2A2R2A1R9A1R3A1R3A1R1A5R3A2R2A1R1A1R2A2R5A1R1A3R3A1R1A1R7A3R3A1R1A3R3A1R1A1R1A2R7A3R4A4R2A3R2A2R3A3R2A1R2A4R3A2R1A1R3A3R1A1R6A3R4A3R2A3R3A3R2A1R1A1R6A1R2A1R5A4R1A1R2A3R9A5R10A1R1A1R1A1R2A2R1A2R1A4R1A2R2A3R1A2R6A1R2A1R10A4R1A1R3A3R2A1R2A1R2A3R10A1R1A3R23A7R3A1R24A1R2A1R2A11R1A1R1A1R6A7R2A1R5A1R5A1R6A2R2A3R4A8R2A1R1A5R6A3R2A3R1A2R6A3R10A1R4A1R26A1R1A1R6A4R1A1R1A7R2A2R1A1R7A1R3A2R3A3R7A1R1A1R2A2R6A1R1A1R8A1R3A7R2A1R5A1R4A1R6A1R7A2R6A1R6A1R5A1R1A2R5A5R3A1R6A1R3A2R2A1R6A1R4A3R3A4R1A1R2A9R1A1R1A1R3A1R2A2R2A1R3A1R3A4R2A2R3A2R1A1R1A3R3A3R3A2R2A1R1A2R1A2R2A2R7A5R2A2R10A1R5A3R19A1R2A1R1A5R2A6R4A2R2A2R3A2R4A1R10A1R1A2R1A1R4A1R3A1R3A1R1A2R3A1R1A3R1A1R2A12R4A2R1A1R11A3R6A4R4A2R4A5R2A3R3A2R1A2R10A1R2A1R5A1R6A2R4A2R5A1R3A1R14A1R3A2R4A2R4A2R3A1R10A2R1A1R6A1R1A2R13A1R4A2R8A1R1A1R2A2R2A1R1A3R4A1R4A4R2A1R2A1R5A1R2A2R2A1R3A1R2A1R2A3R1A5R6A4R13A7R35A5R5A3R7A1R1A1R1A1R1A1R3A1R2A1R1A3R2A2R4A1R2A2R1A2R4A1R5A6R1A1R5A1R12A1R5A1R2A1R3A1R10A8R1A4R3A5R2A2R3A1R1A2R1A1R2A2R4A2R3A3R3A2R3A1R3A3R2A1R4A1R3A1R7A1R1A2R2A3R2A1R4A2R2A1R4A1R1A2R1A4R3A1R2A2R2A5R4A1R1A1R1A1R2A3R4A1R1A1R4A3R3A4R1A1R3A2R2A9R16A1R33A5R23A1R1A1R7A3R5A1R1A1R1A5R3A2R3A1R1A1R6A2R3A1R2A1R7A2R2A1R1A2R5A2R1A5R14A1R7A2R19A1R4A1R7A2R4A3R2A1R2A1R1A1R6A1R5A1R4A2R9A1R1A1R1A2R5A1R2A2R18A1R2A1R1A3R4A1R1A2R3A1R15A4R2A1R5A1R4A2R1A2R4A1R3A1R2A3R8A1R4A1R1A1R2A2R6A1R2A1R1A1R1A1R4A1R4A1R7A1R3A1R5A3R1A1R3A1R6A1R2A2R1A1R1A4R2A3R3A1R1A1R1A1R1A1R2A4R1A1R1A1R6A2R1A1R2A1R3A1R1A1R2A2R3A1R10A1R1A2R1A1R1A1R1A2R3A1R1A2R1A1R3A2R1A3R2A2R4A1R2A2R3A2R2A1R11A2R2A3R3A1R3A2R9A1R1A1R3A1R5A1R5A1R9A1R1A1R4A1R2A3R6A3R2A1R3A1R5A2R2A2R4A1R2A1R7A2R4A1R5A1R1A2R2A1R2A2R1A1R5A1R5A1R1A1R5A1R1A1R3A1R2A3R4A1R3A2R6A1R1A4R2A1R3A2R2A1R1A1R3A2R3A1R3A2R1A1R1A1R1A1R2A2R2A1R1A1R3A3R1A1R2A1R7A1R1A1R1A1R1A1R2A1R3A1R1A1R2A1R1A1R9A1R2A1R4A3R6A1R1A3R5A1R1A2R2A1R2A2R3A2R5A1R2A1R13A1R6A2R1A1R8A3R5A1R6A1R5A1R1A1R1A2R1A1R1A4R6A1R2A1R1A4R5A1R2A1R3A1R1A2R1A2R1A1R8A1R2A3R2A2R7A1R2A4R4A2R2A3R2A1R3A1R2A1R1A1R1A2R3A3R12A1R2A3R1A1R2A1R1A1R3A1R4A2R4A1R3A6R4A1R2A1R3A1R1A1R5A1R1A1R1A1R1A6R1A4R1A3R2A1R1A1R3A2R2A2R2A1R1A1R1A1R7A1R4A1R1A1R4A1R1A2R1A1R1A1R1A1R1A3R1A1R1A1R1A4R2A3R1A2R4A1R3A3R1A1R4A1R3A2R3A3R4A1R1A4R3A1R1A1R3A3R9A1R2A1R1A2R3A4R2A2R2A1R1A3R2A1R4A2R3A2R2A1R1A2R2A3R1A2R5A1R3A3R2A1R1A2R2A2R2A2R3A3R2A1R13A2R1A1R2A1R8A1R7A1R1A1R7A1R7A3R2A2R1A3R10A3R1A1R1A2R1A1R1A2R2A1R6A5R1A2R2A1R3A1R3A2R5A1R2A1R2A1R3A2R2A3R3A2R8A3R3A1R3A5R2A3R1A1R1A1R3A3R2A1R7A1R1A1R2A1R11A1R6A1R4A1R4A3R2A1R1A1R4A3R2A3R1A2R2A1R1A1R1A1R9A5R4A2R1A1R1A1R2A2R3A2R1A1R2A1R5A1R1A1R5A1R2A1R3A4R2A1R10A1R3A1R2A1R6A2R1A1R7A1R1A2R3A1R3A2R4A1R3A2R2A3R3A1R9A1R3A5R1A1R3A1R2A1R1A3R1A1R1A2R7A1R7A4R1A1R7A1R1A5R7A1R4A1R1A1R8A2R5A1R1A1R9A2R1A1R3A2R1A2R4A1R2A1R1A5R1A1R6A1R6A1R6A1R6A1R3A2R1A4R6A4R4A2R3A1R1A3R2A1R4A4R2A2R4A1R3A1R3A3R7A1R2A1R2A1R5A1R3A4R2A2R2A2R1A1R2A1R3A1R2A1R8A1R8A1R1A2R9A1R2A2R5A1R9A1R4A2R4A1R1A1R5A1R4A5R2A1R1A1R1A1R6A1R1A1R9A1R12A5R2A2R1A1R1A2R1A2R2A2R5A1R1A1R3A1R1A1R12A1R2A1R3A1R5A1R7A2R6A1R1A1R2A2R1A2R2A2R3A1R5A2R3A2R1A1R2A1R2A1R3A1R1A4R9A1R2A2R1A4R1A1R2A6R2A1R1A2R1A1R1A2R8A1R2A2R2A3R1A1R6A2R2A1R2A2R8A1R1A2R1A1R2A1R1A1R1A2R1A2R1A2R5A1R2A1R3A2R1A4R3A2R1A1R3A2R3A1R2A1R1A1R2A2R1A2R1A2R7A1R1A1R6A1R2A1R1A1R3A2R1A3R1A1R1A1R2A1R1A1R12A1R1A4R2A1R7A1R3A1R4A1R8A2R7A1R2A3R7A1R1A2R8A2R2A2R17A1R7A1R3A2R1A2R1A1R5A4R2A3R1A2R5A1R3A4R1A2R2A3R6A1R1A1R2A1R6A1R11A3R3A1R2A1R10A1R3A1R7A1R7A1R2A3R4A1R2A4R4A1R10A1R2A2R4A3R5A5R1A1R1A4R3A1R4A1R12A1R6A1R1A1R5A1R4A1R1A1R2A6R2A1R2A3R7A1R1A1R1A5R1A2R3A1R2A1R1A2R1A1R4A1R11A3R2A2R4A1R11A1R4A1R1A1R1A1R1A1R6A2R2A1R10A1R3A3R2A3R4A1R1A2R10A1R7A3R3A4R2A1R1A1R6A2R14A2R6A1R10A2R5A2R1A1R3A3R9A1R3A4R3A1R4A1R1A1R59A3R2A1R8A1R1A1R2A1R1
I	12115989	12123277	E107	2	21	29	2.95238095238	11	A1R1A9R1A1R1A1R1A2R2A7R2
I	12123431	14495909	E107	1	1217	1752	2.93837304848	583	A2R7A5R21A1R1A2R4A2R7A5R2A2R4A1R2A4R1A2R1A2R6A1R2A1R8A2R3A1R7A2R2A1R4A1R1A3R2A5R2A1R1A2R1A1R2A1R1A2R1A1R5A1R14A1R13A3R1A2R1A1R5A1R7A2R1A1R1A1R3A2R6A1R2A1R7A1R2A1R1A2R5A2R9A1R6A2R2A2R4A3R4A1R4A1R1A1R1A1R2A2R1A2R7A1R4A5R12A3R1A5R3A1R2A2R3A1R5A2R4A1R1A3R3A1R1A1R1A1R2A1R4A1R4A1R2A1R1A2R3A1R6A1R1A1R3A1R9A1R7A2R3A3R4A1R3A1R1A1R1A1R1A2R4A1R4A1R4A1R1A1R5A1R10A2R4A1R3A1R3A2R3A1R4A1R2A1R7A3R1A3R1A6R4A1R3A1R1A1R3A1R1A1R12A1R2A2R5A1R10A1R5A1R1A2R4A1R2A1R5A2R1A5R3A4R1A3R3A1R2A2R4A3R1A1R2A1R3A3R4A2R2A2R5A2R1A5R3A3R5A7R4A5R5A2R8A4R5A1R1A1R1A1R1A2R2A1R1A1R3A2R3A2R1A1R8A4R1A2R13A7R4A2R13A2R1A1R2A3R1A1R1A3R1A1R1A1R3A6R3A1R5A1R5A3R3A1R2A2R1A2R4A1R4A1R2A2R1A3R3A6R8A3R1A1R5A2R3A2R2A1R4A2R2A1R2A5R1A1R1A4R2A1R2A1R1A2R2A8R8A3R1A1R5A6R9A1R3A1R11A1R3A1R5A1R2A1R1A2R3A1R9A1R3A1R5A2R15A1R3A2R1A2R2A1R2A1R4A1R7A1R1A6R1A1R1A1R1A2R3A1R1A1R5A4R1A2R7A2R2A1R12A4R5A1R5A1R5A4R5A3R10A1R1A1R8A1R5A3R6A1R9A1R8A3R1A1R1A1R5A1R1A1R4A3R9A1R1A2R3A8R1A2R1A2R1A1R2A2R1A1R2A1R5A1R1A1R7A2R4A1R1A1R7A2R1A3R3A1R1A1R1A2R1A1R5A2R1A2R1A3R4A1R6A1R1A2R4A1R1A1R2A3R2A1R1A1R1A3R12A2R6A1R1A1R2A2R2A7R6A1R1A1R2A1R1A1R8A1R4A1R4A2R3A1R1A2R2A1R8A1R1A1R6A3R12A1R3A1R1A2R1A1R2A1R1A2R3A1R4A1R1A2R2A1R1A1R1A2R2A1R1A1R4A1R56A1R135A1R1A1R1A1R7
I	14501706	14562626	E107	2	28	41	4.39285714286	18	A3R1A2R1A1R2A4R1A3R2A7R1A2R2A1R1A2R2A3
I	14566497	15059713	E107	1	288	341	3.33333333333	48	R6A1R2A1R2A3R2A2R3A2R2A4R2A1R3A4R6A3R1A1R3A1R2A1R1A5R6A1R2A4R4A2R11A2R1A1R1A4R3A1R3A1R2A5R1A1R2A2R217
II	943	822281	E107	1	351	477	2.97720797721	163	A1R5A1R1A2R5A3R1A1R1A2R2A3R10A1R1A1R4A1R2A2R1A3R2A2R2A1R3A1R3A1R4A1R3A1R3A2R3A4R1A1R3A1R1A2R2A3R4A2R5A1R6A2R1A1R11A2R3A1R3A1R4A1R1A1R3A5R5A1R1A1R1A1R1A1R8A3R8A1R1A1R7A1R2A1R1A1R4A1R3A1R2A2R4A1R10A1R5A1R26A2R4A1R24A3R11A2R25A2R2A6R5A1R5A1R6A1R1A1R10A1R4A1R1A2R1A1R1A3R7A1R3A1R2A1R2A1R1A2R3A1R1A1R4A1R6A1R3A1R8A1R1A1R1A1R7A2R3A2R1A2R2A1R3
II	823182	843384	E107	2	19	24	3.15789473684	10	A5R1A6R1A1R1A2R1A1R1A4
II	844386	1000920	E107	1	113	158	2.76991150442	56	R4A2R3A1R1A2R2A2R1A1R11A1R1A1R5A1R2A1R3A1R4A1R4A3R3A1R3A2R1A1R2A1R7A1R2A1R5A2R1A1R1A1R2A1R6A1R5A2R1A7R4A1R18A2R2A3R9
II	1001093	1040848	E107	2	33	45	3.21212121212	8	A9R1A1R2A7R5A6R4A10
II	1040971	1573261	E107	1	528	685	2.85037878788	142	R33A6R24A1R14A1R2A3R7A1R7A7R60A1R2A3R2A1R3A1R2A3R1A1R1A1R9A1R1A4R5A1R5A2R7A2R4A1R1A6R9A1R3A1R2A1R1A1R2A3R3A2R4A1R2A1R12A1R3A1R3A1R4A3R7A2R1A1R1A4R1A2R1A1R1A1R3A3R3A1R9A1R1A2R3A2R1A1R7A2R2A3R1A1R1A1R2A2R2A1R2A1R6A1R6A4R2A2R1A2R2A3R2A5R1A1R15A9R16A6R4A1R6A2R25A2R11A1R64A1R15A1R12A7R3A5R6A5R6A1R20A2R18
II	1573330	1578077	E107	2	22	27	3.63636363636	4	A16R4A1R1A5
II	1578127	1646313	E107	1	177	241	2.96610169492	54	R6A1R3A6R8A3R5A4R1A1R10A3R13A2R1A1R4A3R1A2R1A1R1A2R3A4R8A1R1A5R5A2R1A2R6A2R12A1R2A6R6A1R24A3R7A3R17A1R3A1R8A1R2A2R18
II	1646393	1646703	E107	2	17	17	3.05882352941	0	A17
II	1646791	1807481	E107	1	658	863	3.26291793313	150	R15A1R2A1R20A1R4A8R13A1R5A5R9A2R1A3R34A2R2A4R4A8R2A1R11A2R18A1R25A1R1A1R2A1R8A2R4A2R4A3R2A1R3A1R4A1R5A3R4A1R1A1R2A2R2A2R2A1R2A2R1A2R3A1R3A1R1A1R2A4R1A1R2A1R5A1R6A7R7A4R18A7R3A8R2A1R3A2R7A4R12A1R9A5R15A4R11A1R7A1R1A9R2A1R8A7R14A3R5A6R79A3R1A7R6A3R18A4R24A3R10A7R4A2R9A2R27A1R4A1R27A1R4A2R1A2R6A6R20A2R9A1R2A1R1A5R18A1R12A3R17
II	1807737	1808149	E107	2	16	16	2.3125	0	A16
II	1808240	1815048	E107	1	29	35	4.34482758621	6	R4A3R6A1R2A2R17
II	1817656	1817927	E107	2	15	15	5.26666666667	0	A15
II	1818099	2284176	E107	1	906	1135	3.97682119205	174	R13A1R16A2R5A9R10A2R4A2R49A1R85A1R54A9R26A2R3A1R11A1R36A2R30A2R19A1R1A4R20A6R6A4R43A4R1A5R5A2R7A1R19A2R3A1R26A1R4A10R2A2R2A3R2A3R13A2R1A4R2A1R28A1R4A6R7A1R23A2R34A5R3A2R2A2R2A1R1A3R25A1R1A1R10A3R2A1R2A3R1A1R2A1R1A1R14A2R39A11R2A4R9A4R3A1R2A4R2A5R3A2R4A1R2A1R2A7R9A1R2A2R3A3R2A4R1A2R1A4R1A3R4A3R3A3R3A1R3A2R2A1R3A1R5A2R1A6R1A1R4A1R16A3R9A1R19A1R9A2R7A4R22A4R7A1R8A2R2A1R1A1R3A1R7
II	2284340	2295967	E107	2	24	31	3.79166666667	6	A3R2A8R3A1R2A12
II	2296099	2331390	E107	1	149	182	3.70469798658	18	R8A1R3A6R2A2R14A5R6A6R43A1R8A2R23A8R10A2R32
II	2331549	2337795	E107	2	21	23	4.85714285714	4	A6R1A12R1A3
II	2337920	2404126	E107	1	198	218	4.0	18	R6A1R4A3R72A2R4A1R7A3R3A1R5A4R46A1R20A4R31
II	2404195	2404606	E107	2	14	14	5.5	0	A14
II	2404640	2702247	E107	1	288	418	4.34722222222	130	R11A1R3A1R1A1R1A2R5A1R5A2R1A1R22A8R3A1R5A1R3A1R2A7R11A1R1A2R1A1R2A4R1A1R4A1R1A2R2A2R4A1R7A3R22A1R5A3R5A4R1A1R3A2R7A1R4A1R4A1R3A1R10A5R2A1R18A1R4A1R3A4R7A1R4A2R2A1R20A1R1A1R3A4R1A3R3A1R4A2R2A3R6A2R3A4R5A1R2A3R3A2R2A5R4A2R1A3R2A2R2A1R1A1R3A2R2A1R3A1R3A3R1A1R2A1R1A3R6A1R2
II	2703174	2735872	E107	2	24	34	4.04166666667	10	A7R1A1R1A4R5A8R2A2R1A2
II	2735974	3215726	E107	1	382	596	4.00785340314	188	R7A1R7A1R3A1R8A4R5A1R1A3R4A2R1A1R6A3R16A4R3A1R4A1R5A5R2A3R1A2R1A3R1A1R2A1R14A1R2A1R2A5R2A2R1A1R1A2R1A3R1A1R3A2R11A1R3A2R5A1R2A1R2A3R3A2R1A1R5A1R2A1R2A1R11A1R11A3R1A3R3A4R1A1R1A1R4A2R1A1R2A1R1A1R1A4R1A2R1A1R2A2R2A3R9A3R5A2R13A4R2A4R1A1R3A4R6A3R1A2R1A5R1A2R3A3R2A1R5A2R3A1R6A2R1A3R7A1R1A6R1A2R1A1R1A2R2A4R3A2R1A1R1A5R14A1R3A1R3A4R2A1R1A1R2A3R2A1R1A5R9A2R7A1R3A6R1A6R13A1R17A6R2A1R8A2R13A6R18
II	3215744	3220216	E107	2	22	29	4.54545454545	4	A8R1A3R6A11
II	3220263	3666091	E107	1	553	749	3.86980108499	168	R22A1R3A10R25A3R6A1R60A10R13A7R12A2R5A5R1A7R8A4R2A1R1A2R7A1R9A2R10A1R3A1R4A5R3A3R1A2R5A2R4A5R3A4R19A1R8A2R4A3R23A3R15A1R11A1R12A3R5A1R4A6R4A4R1A1R3A1R3A3R2A1R1A1R11A2R3A5R1A4R1A1R1A4R1A1R19A4R7A1R4A2R8A1R2A1R4A1R11A1R2A4R4A2R1A1R1A1R11A1R1A1R4A1R1A1R4A1R3A2R4A2R1A2R1A4R5A1R2A5R3A2R3A1R8A1R3A2R14A1R2A3R1A1R3A2R2A1R2A3R6A1R5A1R2A2R29A1R13A1R2A1R3A1R1A1R6A2R5
II	3666218	3673484	E107	2	30	44	4.23333333333	10	A14R1A1R3A2R7A5R2A2R1A6
II	3673830	3723561	E107	1	210	275	3.34761904762	48	R6A2R31A1R12A1R17A1R3A9R19A2R1A2R12A1R24A5R6A1R1A13R2A1R13A1R3A3R1A1R10A2R1A2R6A3R2A3R27A3R1A3R1A2R3A1R1A2R7
